URL,Classification,R1,R2,R3
off-guardian.org,KN,,,
realtribune.ru,KN,,,
kasjauns.net,KN VZ,,,
infotop.lv,VZ,,,
delffi.lv,KN VZ,,,
saeima.info,VZ,,,
Parvisu.ne,VZ,,,
infoagentura.wordpress.com,VZ,,,
abiem.lv,VZ,,,
redzams.net,VZ,,,
redzams.lv,VZ,,,
e-viedoklis.lv,,,,
liepaja.mid.ru,KN VZ,,,
rusvesna.su,,,,
lvmz.lv,KN,,,
inforesist.org,KN,,,
jauns.lv,KN,,,
focus.vesti.lv,,,,
ru-an.info,,,,
baltnews.lv,KN VZ,,,
labaszinas.lv,KN VZ,,,
business.news-reports.net,VZ,,,
panorama.pub,KN VZ,,,
parvisu.lv,KN NZ,,,
vesti.lv,KN NZ,,,
press.lv, VZ,,,
kllproject.lv,VZ,,,
exorigi.lv,KN,,,
rubaltic.ru,KN,,,
lurkmore.to,,,,
ricibaspartija.lv,,,,
eiroskeptiki.lv,,,,
best4u.lv,,,,
vip-klubs.lv,,,,
kosjauns.lv,,,,
protesti.lv,,,,
newspall.com,,,,
